RODADA;MANDANTE;#;#;VISITANTE
1;'Internacional';1;0;'Vitória'
1;'Fluminense';3;0;'Figueirense'
1;'Chapecoense';0;0;'Coritiba'
1;'Atlético-MG';0;0;'Corinthians'
1;'São Paulo';3;0;'Botafogo'
1;'Bahia';1;2;'Cruzeiro'
1;'Atlético-PR';1;0;'Grêmio'
1;'Criciúma';1;2;'Palmeiras'
1;'Flamengo';0;0;'Goiás'
1;'Santos';1;1;'Sport'
2;'Coritiba';0;0;'Santos'
2;'Palmeiras';0;1;'Fluminense'
2;'Corinthians';2;0;'Flamengo'
2;'Vitória';2;2;'Atlético-PR'
2;'Botafogo';2;2;'Internacional'
2;'Cruzeiro';1;1;'São Paulo'
2;'Goiás';1;0;'Criciúma'
2;'Sport';2;1;'Chapecoense'
2;'Figueirense';0;2;'Bahia'
2;'Grêmio';2;1;'Atlético-MG'
3;'São Paulo';2;2;'Coritiba'
3;'Atlético-PR';2;3;'Cruzeiro'
3;'Santos';0;0;'Grêmio'
3;'Fluminense';1;2;'Vitória'
3;'Flamengo';4;2;'Palmeiras'
3;'Criciúma';1;0;'Figueirense'
3;'Bahia';1;0;'Botafogo'
3;'Internacional';2;1;'Sport'
3;'Chapecoense';0;1;'Corinthians'
3;'Atlético-MG';0;1;'Goiás'
4;'Palmeiras';2;0;'Goiás'
4;'Internacional';2;1;'Atlético-PR'
4;'Botafogo';6;0;'Criciúma'
4;'Atlético-MG';2;1;'Cruzeiro'
4;'Fluminense';2;0;'Flamengo'
4;'Chapecoense';1;2;'Grêmio'
4;'São Paulo';1;1;'Corinthians'
4;'Bahia';1;1;'Vitória'
4;'Figueirense';0;2;'Santos'
4;'Coritiba';0;1;'Sport'
5;'Goiás';2;0;'Botafogo'
5;'Cruzeiro';3;2;'Coritiba'
5;'Corinthians';0;1;'Figueirense'
5;'Atlético-PR';1;1;'Chapecoense'
5;'Flamengo';0;2;'São Paulo'
5;'Grêmio';1;0;'Fluminense'
5;'Santos';1;2;'Atlético-MG'
5;'Criciúma';0;0;'Internacional'
5;'Vitória';0;1;'Palmeiras'
5;'Sport';1;0;'Bahia'
6;'Coritiba';1;1;'Internacional'
6;'Flamengo';1;1;'Bahia'
6;'Cruzeiro';2;0;'Sport'
6;'Criciúma';1;0;'Chapecoense'
6;'Corinthians';1;1;'Atlético-PR'
6;'Grêmio';2;1;'Botafogo'
6;'Fluminense';5;2;'São Paulo'
6;'Palmeiras';1;0;'Figueirense'
6;'Goiás';2;2;'Santos'
6;'Vitória';2;3;'Atlético-MG'
7;'Bahia';0;1;'Fluminense'
7;'São Paulo';1;0;'Grêmio'
7;'Figueirense';0;1;'Goiás'
7;'Santos';0;0;'Flamengo'
7;'Sport';1;4;'Corinthians'
7;'Atlético-PR';2;0;'Coritiba'
7;'Chapecoense';2;0;'Palmeiras'
7;'Botafogo';1;1;'Vitória'
7;'Atlético-MG';0;0;'Criciúma'
7;'Internacional';1;3;'Cruzeiro'
8;'Sport';0;0;'Grêmio'
8;'Palmeiras';0;2;'Botafogo'
8;'Criciúma';1;0;'Coritiba'
8;'Internacional';2;0;'Chapecoense'
8;'Goiás';0;0;'Vitória'
8;'Corinthians';1;0;'Cruzeiro'
8;'Atlético-PR';2;2;'São Paulo'
8;'Atlético-MG';2;0;'Fluminense'
8;'Flamengo';1;1;'Figueirense'
8;'Bahia';0;2;'Santos'
9;'São Paulo';2;1;'Atlético-MG'
9;'Coritiba';3;0;'Goiás'
9;'Vitória';0;1;'Sport'
9;'Grêmio';0;0;'Palmeiras'
9;'Chapecoense';2;1;'Bahia'
9;'Cruzeiro';3;0;'Flamengo'
9;'Figueirense';1;3;'Atlético-PR'
9;'Santos';2;0;'Criciúma'
9;'Fluminense';1;1;'Internacional'
9;'Botafogo';1;0;'Corinthians'
10;'Coritiba';0;2;'Figueirense'
10;'Sport';1;0;'Botafogo'
10;'Grêmio';0;0;'Goiás'
10;'Bahia';0;2;'São Paulo'
10;'Flamengo';1;2;'Atlético-PR'
10;'Criciúma';3;2;'Fluminense'
10;'Corinthians';2;1;'Internacional'
10;'Santos';2;0;'Palmeiras'
10;'Cruzeiro';3;1;'Vitória'
10;'Chapecoense';1;1;'Atlético-MG'
11;'São Paulo';0;1;'Chapecoense'
11;'Atlético-MG';1;1;'Bahia'
11;'Figueirense';0;1;'Grêmio'
11;'Botafogo';1;0;'Coritiba'
11;'Vitória';0;0;'Corinthians'
11;'Palmeiras';1;2;'Cruzeiro'
11;'Internacional';4;0;'Flamengo'
11;'Atlético-PR';2;0;'Criciúma'
11;'Goiás';0;0;'Sport'
11;'Fluminense';1;0;'Santos'
12;'Santos';3;0;'Chapecoense'
12;'Cruzeiro';5;0;'Figueirense'
12;'Criciúma';1;3;'Vitória'
12;'Bahia';0;1;'Internacional'
12;'Corinthians';2;0;'Palmeiras'
12;'Atlético-PR';0;3;'Fluminense'
12;'Goiás';2;1;'São Paulo'
12;'Sport';2;1;'Atlético-MG'
12;'Flamengo';1;0;'Botafogo'
12;'Grêmio';2;3;'Coritiba'
13;'São Paulo';1;1;'Criciúma'
13;'Botafogo';1;1;'Cruzeiro'
13;'Vitória';2;1;'Grêmio'
13;'Figueirense';3;0;'Sport'
13;'Coritiba';0;0;'Corinthians'
13;'Palmeiras';1;1;'Bahia'
13;'Chapecoense';1;0;'Flamengo'
13;'Fluminense';2;0;'Goiás'
13;'Atlético-MG';3;1;'Atlético-PR'
13;'Internacional';1;0;'Santos'
14;'Bahia';1;0;'Goiás'
14;'Criciúma';0;0;'Cruzeiro'
14;'Fluminense';1;1;'Coritiba'
